David Bowie,Low,1977,Classic Rock,Paul Watta,https://is4-ssl.mzstatic.com/image/thumb/Music128/v4/77/94/57/7794575c-fea8-f345-010a-d84f72af528b/source/100x100bb.jpg
Miles Davis,Kind of Blue,1959,Jazz,Paul Watta,https://is2-ssl.mzstatic.com/image/thumb/Music/v4/f3/d5/eb/f3d5eb6b-34f6-69db-1b2c-477c46ee7662/source/100x100bb.jpg
Cat Stevens,Greatest Hits,1975,Pop,Paul Watta,https://is3-ssl.mzstatic.com/image/thumb/Music118/v4/8d/ce/80/8dce802f-d9d4-5e82-d255-1c232262d1e0/source/100x100bb.jpg
Rachelle Ferrell,First Instrument,1992,Jazz,Paul Watta,https://is2-ssl.mzstatic.com/image/thumb/Music4/v4/aa/d8/8a/aad88a5d-fc2f-82af-0b8e-a214ce6e8270/source/100x100bb.jpg
The Beatles,Abbey Road,1969,Pop,Paul Watta,https://is4-ssl.mzstatic.com/image/thumb/Music128/v4/0a/91/ba/0a91bafc-8a02-202e-e604-9d920f0d7e1b/source/100x100bb.jpg
